Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Blushing Margarita,https://www.thecocktailproject.com/drink-recipes/blushing-margarita,"DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, Lime Juice, Cranberry Juice",Cordials,Sour,3,48
Cherry Margarita,https://www.thecocktailproject.com/drink-recipes/cherry-margarita,"DeKuyper Pucker Cherry Schnapps, Sauza Blue Silver 100% Agave Tequila, DeKuyper Pucker Cherry Schnapps, Sauza Blue Silver 100% Agave Tequila, Lime Juice",Cordials,Fruity,3,30
Elderflower Margarita,https://www.thecocktailproject.com/drink-recipes/elderflower-margarita,"Sauza Blue Silver 100% Agave Tequila, JDK & Sons¢â Fleur Elderflower Liqueur, Sauza Blue Silver 100% Agave Tequila, JDK & Sons¢â Fleur Elderflower Liqueur, Lime Juice, Easy Ice Tips",Cordials,Sour,3,42
Coconut Snowball Martini,https://www.thecocktailproject.com/drink-recipes/coconut-snowball-martini,"Pinnacle Original Vodka, Cruzan Aged Light Rum, Pinnacle Original Vodka, Cruzan Aged Light Rum, DeKuyper Blue Curacao Liqueur, Cream of Coconut, Honey, Shredded Coconut",Rum,Sweet,3,66
CranApple Martini,https://www.thecocktailproject.com/drink-recipes/cran-apple-martini,"DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Sour Apple Schnapps, Pinnacle Original Vodka, Cranberry Juice",Cordials,Sour,3,38
Double Razzmatazz Grape Martini,https://www.thecocktailproject.com/drink-recipes/double-razzmatazz-grape-martini,"DeKuyper Pucker Grape Schnapps, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Pucker Grape Schnapps, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Raspberry Vodka, Lemon-Lime Soda",Cordials,Sweet,3,30
Elderflower Martini,https://www.thecocktailproject.com/drink-recipes/elderflower-martini,"EFFEN Original Vodka, JDK & Sons¢â Fleur Elderflower Liqueur, EFFEN Original Vodka, JDK & Sons¢â Fleur Elderflower Liqueur, Lime Juice",Cordials,Sour,3,43
Ginger Martini,https://www.thecocktailproject.com/drink-recipes/ginger-martini,"DeKuyper Mixologist Collection Ginger Liqueur, EFFEN Original Vodka, DeKuyper Mixologist Collection Ginger Liqueur, EFFEN Original Vodka, Fresh Ingredient Enhancements",Cordials,Sweet,3,24
Apple Colada,https://www.thecocktailproject.com/drink-recipes/apple-colada,"DeKuyper Tropical Coconut Liqueur, Apple Juice, DeKuyper Tropical Coconut Liqueur, Apple Juice, Lime Wedges",Cordials,Fruity,3,52
Lazy Day Colada,https://www.thecocktailproject.com/drink-recipes/lazy-day-colada,"DeKuyper Pucker Sour Apple Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Sour Apple Schnapps, Cruzan Aged Light Rum, Pina Colada Mix",Cordials,Sweet,3,40
Fall Sangria,https://www.thecocktailproject.com/drink-recipes/fall-sangria,"DeKuyper Triple Sec, Apple Cider, DeKuyper Triple Sec, Apple Cider, Apples, Oranges, Lemons, Cinnamon Sticks, Soda Water",Cordials,Sweet,3,58
Banana Cinnamon Mojito,https://www.thecocktailproject.com/drink-recipes/banana-cinnamon-mojito,"Cruzan Banana Rum, Lime, Cruzan Banana Rum, Lime, Mint, Fresh, Soda Water, Mint, Fresh, Cinnamon Stick",Rum,Sweet,3,28
Strawberry Lemonade Mojito,https://www.thecocktailproject.com/drink-recipes/strawberry-lemonade-mojito,"Cruzan Strawberry Rum, Lemon Wedges, Cruzan Strawberry Rum, Lemon Wedges, Fresh Mint Leaves, Sugar, Lemonade, Sparkling, Strawberries, Lemon Twist",Rum,Fruity,3,33
Cruzan Peach Sangria,https://www.thecocktailproject.com/drink-recipes/cruzan-peach-sangria,"Cruzan Peach Rum, Lemon Sour, Cruzan Peach Rum, Lemon Sour, Skinnygirl Chardonnay, Lemon, Sliced, Lime, Sliced",Rum,Fruity,3,35
Peach Daiquiri,https://www.thecocktailproject.com/drink-recipes/peach-daiquiri,"Cruzan Peach Rum, Cruzan Aged Light Rum, Cruzan Peach Rum, Cruzan Aged Light Rum, Simple Syrup, Lime Wheel",Rum,Fruity,3,48
Island Breeze,https://www.thecocktailproject.com/drink-recipes/island-breeze,"Cruzan Aged Dark Rum, Cruzan Peach Rum, Cruzan Aged Dark Rum, Cruzan Peach Rum, Pineapple Juice, Cranberry Juice, Orange and Cherry Flag",Rum,Fruity,3,41
Classic Rum Punch,https://www.thecocktailproject.com/drink-recipes/classic-rum-punch,"Cruzan Aged Light Rum, Cruzan 9 Spiced Rum, Cruzan Aged Light Rum, Cruzan 9 Spiced Rum, Orange Juice, Cranberry Juice, Pineapple Slice",Rum,Fruity,3,29
Bay Breeze,https://www.thecocktailproject.com/drink-recipes/bay-breeze,"Cruzan Aged Light Rum, Pineapple Juice, Cruzan Aged Light Rum, Pineapple Juice, Cranberry Juice, Strawberries, Using Fresh Citrus",Rum,Fruity,3,53
Banana Nana,https://www.thecocktailproject.com/drink-recipes/banana-nana,"Cruzan Banana Rum, Cruzan Aged Dark Rum, Cruzan Banana Rum, Cruzan Aged Dark Rum, Orange Juice",Rum,Fruity,3,36
Voodoo Hurricane,https://www.thecocktailproject.com/drink-recipes/voodoo-hurricane,"Cruzan 9 Spiced Rum, Cruzan 151 Rum, Cruzan 9 Spiced Rum, Cruzan 151 Rum, Cruzan Vanilla Rum, Orange Juice, Pineapple Juice, Grenadine, Fruit Wedge",Rum,Fruity,2,54
Rum Breeze,https://www.thecocktailproject.com/drink-recipes/rum-breeze,"Cruzan Black Cherry Rum, Cruzan Aged Light Rum, Cruzan Black Cherry Rum, Cruzan Aged Light Rum, Pineapple Juice, Ginger Ale, Lime Twist",Rum,Fruity,3,53
Endless Summer Punch,https://www.thecocktailproject.com/drink-recipes/endless-summer-punch,"Cruzan Pineapple Rum, Cruzan Aged Dark Rum, Cruzan Pineapple Rum, Cruzan Aged Dark Rum, Cruzan Coconut Rum, Orange Juice, Lemonade, Pineapple Wedge",Rum,Sweet,3,44
Cruzan Confusion,https://www.thecocktailproject.com/drink-recipes/cruzan-confusion,"Cruzan Coconut Rum, Cruzan Mango Rum, Cruzan Coconut Rum, Cruzan Mango Rum, Pineapple Juice, Mango, Easy Ice Tips",Rum,Fruity,3,77
Pina Colada Martini,https://www.thecocktailproject.com/drink-recipes/pina-colada-martini,"Cruzan Coconut Rum, Cruzan Pineapple Rum, Cruzan Coconut Rum, Cruzan Pineapple Rum, Pineapple Juice, Pineapple Wedge",Rum,Sweet,3,43
Strawberry Rosemary Punch,https://www.thecocktailproject.com/drink-recipes/strawberry-rosemary-punch,"Cruzan Strawberry Rum, Lime Juice, Cruzan Strawberry Rum, Lime Juice, Ginger Ale, Rosemary Sprigs",Rum,Sweet,4,28
Cruzan Colada,https://www.thecocktailproject.com/drink-recipes/cruzan-colada,"Cruzan Aged Light Rum, Pineapple Juice, Cruzan Aged Light Rum, Pineapple Juice, Cream of Coconut, Pineapple Slice",Rum,Fruity,3,59
Mango Hurricane,https://www.thecocktailproject.com/drink-recipes/mango-hurricane,"Cruzan Mango Rum, Cruzan Aged Dark Rum, Cruzan Mango Rum, Cruzan Aged Dark Rum, Orange Juice, Grenadine, Orange Wedges, Cherries",Rum,Fruity,3,29
Mango Mojito,https://www.thecocktailproject.com/drink-recipes/mango-mojito,"Cruzan Mango Rum, Mango, Cruzan Mango Rum, Mango, Lime Juice, Simple Syrup, Fresh Mint Leaves, Soda Water",Rum,Fruity,3,37
Cruzan 9 Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-9-punch,"Cruzan 9 Spiced Rum, Orange Juice, Cruzan 9 Spiced Rum, Orange Juice, Cranberry Juice, Lime Wedges",Rum,Fruity,3,55
